id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,year,pop
19143,Actinopteri,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,,Gilchrist 1906,Smooth oreo dory,Bounty Plateau,New Zealand,Oceania,-48.5,179,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,8131.07
19150,Actinopteri,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,,Gilchrist 1906,Smooth oreo dory,Chatham Rise,New Zealand,Oceania,-43.5,179.833333,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,73838
19151,Actinopteri,Gadiformes,Merlucciidae,Merluccius,australis,,(Hutton 1872),Southern hake,Chatham Rise,New Zealand,Oceania,-43.5,179.833333,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,18304.89
19167,Actinopteri,Acropomatiformes,Epigonidae,Epigonus,telescopus,,(Risso 1810),Black cardinal fish,East coast of North Island,New Zealand,Oceania,-40.025534,177.476195,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,4842.93
19168,Actinopteri,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,,Gilchrist 1906,Smooth oreo dory,East Pukaki Rise,New Zealand,Oceania,-50,172,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,4486.67
19173,Actinopteri,Scombriformes,Centrolophidae,Seriolella,brama,,(Günther 1860),Common warehou,Eastern half of Southeast Australia,Australia,Oceania,-46.116954,143.077125,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,740.471
19174,Actinopteri,Gadiformes,Merlucciidae,Macruronus,novaezelandiae,,(Hector 1871),Blue grenadier,Eastern New Zealand,New Zealand,Oceania,-43.547136,174.335306,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,115456
19235,Actinopteri,Scombriformes,Arripidae,Arripis,trutta,,(Forster 1801),Australian salmon,New Zealand,New Zealand,Oceania,-43.261601,173.193165,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,20100
19236,Actinopteri,Scombriformes,Centrolophidae,Hyperoglyphe,antarctica,,(Carmichael 1819),Bluenose warehou,New Zealand,New Zealand,Oceania,-43.261601,173.193165,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,11658.4
19237,Actinopteri,Scombriformes,Gempylidae,Rexea,solandri,,(Cuvier 1832),Silver gemfish,New Zealand,New Zealand,Oceania,-43.261601,173.193165,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,2842.13
